Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Tinkaton,100,959,fairy,steel,112.8,142.6,143,2300195,50,1616,Fairy Wind,Gigaton Hammer,Bulldoze,7,5,3,75000
Corviknight,97.2,823,flying,steel,109.4,135,153,2259657,47,1573,Sand Attack,Air Cutter,Payback,9,15,1,10000
Registeel,95.8,379,steel,none,98.3,194.7,136,2602905,49,1602,Lock On,Flash Cannon,Focus Blast,13,15,20,100000
Zygarde (Complete Forme),91.9,718,dragon,ground,92.2,101.6,189,1770461,24,1278,Dragon Tail,Crunch,Earthquake,4,6,20,100000
Florges,91.7,671,fairy,none,110.2,131.1,102,1473616,28.5,1277,Fairy Wind,Chilling Water,Disarming Voice,5,5,3,50000
Steelix,91.3,208,steel,ground,101.2,190.3,130,2503587,48.5,1593,Thunder Fang,Psychic Fangs,Earthquake,6,11,5,75000
Forretress,91,205,bug,steel,115.8,145.7,130,2193368,48.5,1596,Volt Switch,Rock Tomb,Sand Tomb,4,3,5,75000
Jellicent,88.7,593,water,ghost,112.6,126.5,156,2222048,47.5,1582,Hex,Surf,Shadow Ball,4,4,3,50000
Cresselia,88.1,488,psychic,none,90.1,155.3,156,2182835,36.5,1403,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Dondozo,87.6,977,water,none,97.3,103.8,176,1777554,32,1318,Waterfall,Surf,Outrage,5,6,5,75000
Oranguru,86.7,765,normal,psychic,112.7,135,144,2190888,47,1575,Confusion,Brutal Swing,Trailblaze,3,4,3,75000
Articuno,86.4,144,ice,flying,104.3,133.6,115,1602465,31,1297,Powder Snow,Icy Wind,Hurricane,6,8,20,100000
Coalossal,86.2,839,rock,fire,102.2,143.2,172,2517227,49.5,1607,Fire Spin,Rock Slide,Flame Charge,5,5,3,10000
Mandibuzz,86.2,630,dark,flying,97.3,148.7,173,2503052,50,1563,Snarl,Foul Play,Shadow Ball,4,4,5,75000
Swampert,86.2,260,water,ground,114.6,102.7,129,1518255,32,1320,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Giratina (Altered),85.5,487,ghost,dragon,96.2,120.3,146,1689638,27.5,1276,Dragon Breath,Dragon Claw,Shadow Sneak,13,13,20,100000
Stunfisk,85.3,618,ground,electric,107.4,125.7,172,2322031,50,1581,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Gastrodon,85.1,423,water,ground,119.2,104.1,169,2097074,47.5,1582,Mud Slap,Body Slam,Earth Power,4,5,3,50000
Guzzlord,85.1,799,dark,dragon,107,63.5,252,1712214,34,1356,Dragon Tail,Brutal Swing,Dragon Claw,3,5,20,100000
