Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Hypno,100,97,psychic,none,74,102.3,105,794871,27,767,Confusion,Shadow Ball,Psyshock,4,3,3,50000
Dartrix,99.7,723,grass,flying,84.3,86.6,115,839544,36.5,842,Peck,Brave Bird,Seed Bomb,7,5,3,10000
Emolga,95.1,587,electric,flying,97.3,84.1,95,777378,39.5,871,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Tropius,94.2,357,grass,flying,72.6,91.6,121,804669,29,766,Air Slash,Brutal Swing,Leaf Blade,4,4,5,75000
Orbeetle,93.4,826,bug,psychic,77.2,120.6,81,754136,25.5,765,Psycho Cut,Psyshock,Bug Buzz,5,7,1,10000
Uxie,90.5,480,psychic,none,73.1,126,87,801322,22,766,Confusion,Swift,Future Sight,3,5,20,100000
Venomoth,88.5,49,bug,poison,90.9,77,92,643936,27,766,Psywave,Poison Fang,Silver Wind,10,12,3,50000
Swadloon,86.8,541,bug,grass,85.8,117.6,108,1089729,50,970,Bug Bite,Silver Wind,Bug Buzz,15,20,1,10000
Weezing (Galarian),86.8,110,poison,fairy,84.2,99.8,83,697462,24.5,767,Fairy Wind,Brutal Swing,Sludge,4,5,3,50000
Grumpig,85.4,326,psychic,none,81.1,94,94,716600,23.5,766,Psywave,Shadow Ball,Dynamic Punch,13,12,1,10000
Kricketune,85.1,402,bug,none,96.6,67.7,116,758619,38,856,Fury Cutter,X-Scissor,Aerial Ace,10,12,1,10000
Butterfree,83.7,12,bug,flying,91.7,81.5,90,672620,31.5,786,Bug Bite,Bug Buzz,Signal Beam,20,19,1,10000
Girafarig,83.4,203,normal,psychic,93.2,72.7,93,630135,27.5,767,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Muk,82.8,89,poison,none,82.9,79.9,105,695490,20,763,Poison Jab,Dark Pulse,Thunder Punch,8,6,3,50000
Grafaiai,80.8,945,poison,normal,96,77.1,82,606931,24.5,767,Poison Jab,Poison Fang,Sludge Bomb,6,8,3,50000
Wyrdeer,80,899,normal,psychic,90.6,68.4,104,644492,20,766,Confusion,Wild Charge,Megahorn,4,4,5,75000
Parasect,78.5,47,bug,grass,89.2,85,88,667216,30.5,774,Fury Cutter,X-Scissor,Cross Poison,10,9,3,50000
Tentacruel,78.2,73,water,poison,77.9,102.7,93,744031,23,765,Acid,Scald,Payback,7,8,3,50000
Electrode,78,101,electric,none,87.9,90.4,84,667477,27,767,Volt Switch,Foul Play,Hyper Beam,3,5,3,50000
Misdreavus,77.4,200,ghost,none,88,86.5,87,662244,29,765,Astonish,Shadow Sneak,Dark Pulse,5,5,3,50000
Houndstone,76.5,972,ghost,none,86.1,93.2,85,682084,22,766,Lick,Shadow Ball,Psychic Fangs,17,12,3,50000
Scolipede,76.5,545,bug,poison,94.3,86.1,76,617061,22.5,765,Bug Bite,X-Scissor,Aqua Tail,14,12,1,10000
Grotle,76,388,grass,none,84.3,82.2,101,699875,30,767,Bite,Body Slam,Energy Ball,18,23,3,10000
Dustox,75.7,269,bug,poison,76.4,119.6,114,1041668,50,895,Confusion,Sludge Bomb,Silver Wind,4,4,1,10000
Mothim,75.7,414,bug,flying,101.4,60.1,100,609414,31.5,786,Bug Bite,Aerial Ace,Bug Buzz,15,20,1,10000
Pineco,75.7,204,bug,none,83.1,92.6,102,784896,50,810,Bug Bite,Rock Tomb,Sand Tomb,17,14,5,75000
Grimer,75.1,88,poison,none,97.3,71,138,953345,50,964,Poison Jab,Sludge,Mud Bomb,6,7,3,50000
Ampharos,74.8,181,electric,none,90.7,77.2,92,644188,19.5,766,Volt Switch,Brutal Swing,Power Gem,3,4,5,75000
Delphox,74.8,655,fire,psychic,94.9,82.7,79,620010,18,767,Fire Spin,Psyshock,Blast Burn,4,5,3,10000
Scyther,74.8,123,bug,flying,96.5,78.3,80,604476,20.5,768,Fury Cutter,X-Scissor,Night Slash,10,9,5,75000
Slowbro (Galarian),74.5,80,poison,psychic,85.2,77.5,104,686712,22.5,767,Confusion,Brutal Swing,Sludge Bomb,3,4,3,50000
Vivillon,74,666,bug,flying,94.2,61.8,107,622907,30,767,Gust,Aerial Ace,Bug Buzz,4,5,1,10000
Ludicolo,73.7,272,water,grass,83.3,88.5,95,700345,24,767,Astonish,Weather Ball (Water),Ice Beam,4,6,3,50000
Dedenne,73.1,702,electric,fairy,89,78,95,659490,30,766,Thunder Shock,Parabolic Charge,Play Rough,6,7,3,50000
Eelektrik,73.1,603,electric,none,91.1,82,101,754490,35.5,830,Acid,Crunch,Discharge,6,5,1,10000
Wormadam (Plant),72.2,413,bug,grass,81.4,107.2,94,820252,34.5,820,Sucker Punch,Bug Buzz,Energy Ball,9,7,1,10000
