Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Golisopod,100,768,bug,water,124,134.6,108,1802563,17.5,1497,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Perrserker,100,863,steel,none,128.7,113.3,119,1735223,23,1499,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Sandslash (Alolan),100,28,ice,steel,115.9,133.2,125,1929735,23,1498,Powder Snow,Drill Run,Ice Punch,5,5,3,50000
Kingambit,100,983,dark,steel,127.2,112,124,1766554,15.5,1499,Metal Sound,Foul Play,X-Scissor,5,5,5,75000
Lairon,100,305,steel,rock,113.8,147.1,117,1958578,27,1499,Metal Sound,Rock Tomb,Rock Slide,7,6,1,10000
Murkrow,100,198,dark,flying,143.1,81.1,135,1566730,41,1498,Peck,Drill Peck,Foul Play,5,5,3,50000
Tyrunt,100,696,rock,dragon,126.6,107.8,129,1760525,38.5,1497,Dragon Tail,Rock Tomb,Dragon Claw,5,5,5,75000
Kingler,100,99,water,none,144.5,115.6,93,1553491,19.5,1499,Mud Shot,Vise Grip,X-Scissor,5,5,3,50000
Overqwil,100,904,dark,poison,131,106.9,122,1708476,18.5,1498,Poison Sting,Shadow Ball,Dark Pulse,6,6,5,75000
Qwilfish (Hisuian),100,211,dark,poison,128,112.3,121,1739302,26,1493,Poison Sting,Shadow Ball,Dark Pulse,6,6,3,50000
Goldeen,100,118,water,none,115.9,105,120,1460340,50,1301,Peck,Aqua Tail,Horn Attack,5,5,3,50000
Clauncher,100,692,water,none,103.3,110.9,127,1454908,50,1228,Water Gun,Aqua Jet,Crabhammer,14,17,3,50000
Corphish,100,341,water,none,131,95.7,117,1466794,50,1389,Bubble,Vise Grip,Aqua Jet,4,4,3,50000
Clawitzer,100,693,water,none,134.4,110.5,112,1663334,20,1497,Smack Down,Crabhammer,Dark Pulse,7,7,3,50000
Drizzile,100,817,water,none,137.8,92.1,128,1624497,29.5,1498,Water Gun,Surf,Water Pulse,15,17,3,10000
Frogadier,100,657,water,none,134.4,100.8,123,1666345,38.5,1499,Bubble,Surf,Aerial Ace,5,5,3,10000
Gorebyss,100,368,water,none,136.2,121,100,1648020,22.5,1498,Confusion,Water Pulse,Draining Kiss,4,4,3,50000
Bombirdier,99.7,962,flying,dark,127.8,117.2,117,1752445,22,1497,Sucker Punch,Fly,Rock Tomb,7,8,5,75000
Lokix,99.5,920,bug,dark,132.8,104,122,1684966,24,1498,Sucker Punch,X-Scissor,Trailblaze,6,7,1,50000
Piplup,99.3,393,water,none,106.7,98.3,131,1374008,50,1214,Bubble,Drill Peck,Icy Wind,4,5,3,10000
Seel,99.1,86,water,none,84,114.2,149,1429327,50,1097,Lick,Aqua Tail,Icy Wind,12,15,3,50000
Dewgong,98.8,87,water,ice,101.9,136.8,157,2188567,28.5,1495,Ice Shard,Icy Wind,Drill Run,5,4,3,50000
Brionne,98.3,729,water,none,125.8,117,121,1780951,30,1499,Charm,Aqua Jet,Disarming Voice,5,6,3,10000
Metagross,98.2,376,steel,psychic,132.7,122,104,1683698,14.5,1496,Fury Cutter,Meteor Mash,Earthquake,12,17,5,75000
Persian (Alolan),98.2,53,dark,none,122.4,112.6,132,1819256,34,1497,Feint Attack,Foul Play,Trailblaze,7,8,3,50000
Milotic,97.8,350,water,none,113.1,133.8,130,1967261,18.5,1496,Dragon Tail,Aqua Tail,Wrap,3,4,5,75000
Blastoise,97.8,9,water,none,112.1,137.7,130,2006702,23,1500,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Kabuto,97.4,140,rock,water,134.4,129.4,96,1669571,49,1497,Mud Shot,Rock Tomb,Aqua Jet,6,5,5,75000
Skuntank,97.2,435,poison,dark,121.7,95.2,157,1818977,23.5,1492,Poison Jab,Trailblaze,Crunch,7,7,3,50000
Stunky,97.2,434,poison,dark,114.2,88.2,146,1470576,50,1299,Bite,Trailblaze,Crunch,23,23,3,50000
Lapras,97,131,water,ice,104.6,114.5,178,2131853,21.5,1496,Psywave,Sparkling Aria,Dragon Pulse,12,14,5,75000
Dragonair,96.9,148,dragon,none,125.2,112.5,127,1788795,33,1498,Dragon Breath,Aqua Tail,Wrap,9,12,5,75000
Quaxwell,96.9,913,water,none,125.4,103.5,138,1791088,34,1499,Wing Attack,Aqua Jet,Aerial Ace,5,6,3,10000
Arctibax,96.8,997,dragon,ice,122.8,98.5,151,1826466,27,1498,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Frigibax,96.8,996,dragon,ice,125.2,84.9,149,1583793,50,1410,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Zoroark,96.7,571,dark,none,157.3,87.9,103,1424147,21.5,1500,Shadow Claw,Foul Play,Night Shade,5,6,5,75000
Simipour,96.7,516,water,none,135.9,95.8,126,1640422,23.5,1494,Water Gun,Crunch,Surf,15,15,3,50000
Shelgon,96.5,372,dragon,none,123.2,119,123,1803278,27.5,1495,Dragon Breath,Twister,Flamethrower,10,14,5,75000
Linoone (Galarian),96.4,264,dark,normal,114.1,111.8,153,1951726,38.5,1496,Snarl,Body Slam,Dig,3,4,1,10000
Feraligatr,96.2,160,water,none,123.8,117.3,124,1800696,19.5,1499,Shadow Claw,Hydro Cannon,Crunch,5,6,3,10000
Starmie,96.2,121,water,psychic,133.1,122,104,1688773,21.5,1499,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Cloyster,95.9,91,water,ice,119,169.7,93,1878070,22,1497,Ice Shard,Avalanche,Liquidation,5,5,3,50000
